2023-03-29 15:47:56.857 | DEBUG    | paddlespeech.s2t:<module>:83 - register user softmax to paddle, remove this when fixed!
2023-03-29 15:47:56.857 | DEBUG    | paddlespeech.s2t:<module>:87 - register user log_softmax to paddle, remove this when fixed!
2023-03-29 15:47:56.857 | DEBUG    | paddlespeech.s2t:<module>:91 - register user sigmoid to paddle, remove this when fixed!
2023-03-29 15:47:56.857 | DEBUG    | paddlespeech.s2t:<module>:95 - register user log_sigmoid to paddle, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:99 - register user relu to paddle, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:108 - override cat of paddle if exists or register, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:130 - override long of paddle.Tensor if exists or register, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:152 - override new_full of paddle.Tensor if exists or register, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:168 - override eq of paddle.Tensor if exists or register, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:175 - override eq of paddle if exists or register, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:185 - override contiguous of paddle.Tensor if exists or register, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:203 - override size of paddle.Tensor (`to_static` do not process `size` property, maybe some `paddle` api dependent on it), remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:216 - register user view to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:226 - register user view_as to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.858 | DEBUG    | paddlespeech.s2t:<module>:254 - register user masked_fill to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.859 | DEBUG    | paddlespeech.s2t:<module>:273 - register user masked_fill_ to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.859 | DEBUG    | paddlespeech.s2t:<module>:297 - register user repeat to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.859 | DEBUG    | paddlespeech.s2t:<module>:303 - register user softmax to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.859 | DEBUG    | paddlespeech.s2t:<module>:308 - register user sigmoid to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.859 | DEBUG    | paddlespeech.s2t:<module>:313 - register user relu to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.860 | DEBUG    | paddlespeech.s2t:<module>:322 - register user type_as to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.860 | DEBUG    | paddlespeech.s2t:<module>:340 - register user to to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.860 | DEBUG    | paddlespeech.s2t:<module>:350 - register user float to paddle.Tensor, remove this when fixed!
2023-03-29 15:47:56.860 | DEBUG    | paddlespeech.s2t:<module>:361 - register user int to paddle.Tensor, remove this when fixed!
